X,packagename,packagename_orig,logprice,movie_group,start_date,price_orig,cost_no_vat,augsales,imdb_rating,imdb_votes
109,015788_LUS_CAPUCHVERM_NAVENT_65128000_,015788_LUS_CAPUCHVERM_NAVENT_65128000_,5.700443573,70K,9/20/13 0:00,299,149,72,4.8,7710
110,015796_LUS_GATOBOTAS_VP_63550000_,015796_LUS_GATOBOTAS_VP_63550000_,5.700443573,100K,11/15/13 0:00,299,149,593,6.7,85506
111,015851_LUS_1CALOIR7PASPALH_58698000_,015851_LUS_1CALOIR7PASPALH_58698000_,5.003946306,50K,10/18/13 0:00,149,75,13,6.3,26783
112,016321_LUS_RIO_VP_64471000_,016321_LUS_RIO_VP_64471000_,5.700443573,100K,11/15/13 0:00,299,156,933,7,113855
113,016322_LUS_127HORAS_64472000_,016322_LUS_127HORAS_64472000_,5.855071922,100K,11/15/13 0:00,349,149,97,7.7,205520
114,016327_LUS_BORAT_65245000_,016327_LUS_BORAT_65245000_,5.855071922,50K,12/13/13 0:00,349,111,46,7.3,241246
115,016333_LUS_XMENOINICIO_65291000_,016333_LUS_XMENOINICIO_65291000_,5.855071922,270K,11/15/13 0:00,349,156,163,7.8,335510
116,016335_LUS_PINGUINSSRPOPPER_65269000_,016335_LUS_PINGUINSSRPOPPER_65269000_,5.855071922,100K,11/15/13 0:00,349,156,25,6.3,203
117,016340_LUS_PLANETAMACACOSORIGEM_65275000_,016340_LUS_PLANETAMACACOSORIGEM_65275000_,5.855071922,100K,11/15/13 0:00,349,156,99,7.6,268308
118,016574_LUS_HORTONEQUEM_VP_65251000_,016574_LUS_HORTONEQUEM_VP_65251000_,5.700443573,50K,12/13/13 0:00,299,111,158,6.9,85137
119,016575_LUS_GARFIELDFILME_65256000_,016575_LUS_GARFIELDFILME_65256000_,5.855071922,100K,11/15/13 0:00,349,111,92,4.9,43621
120,016576_LUS_GARFIELD2_65257000_,016576_LUS_GARFIELD2_65257000_,5.293304825,100K,11/15/13 0:00,199,100,183,5,19366
121,016589_LUS_METODPERIGOSO_5027000_,016589_LUS_METODPERIGOSO_5027000_,5.855071922,70K,9/20/13 0:00,349,170,13,6.5,60494
122,016600_LUS_XMENCONFRONTO_65292000_,016600_LUS_XMENCONFRONTO_65292000_,5.855071922,100K,11/15/13 0:00,349,111,108,6.8,261988
123,016614_LUS_ATOUPEIRA_5259000_,016614_LUS_ATOUPEIRA_5259000_,5.855071922,70K,9/6/13 0:00,349,170,19,7.1,113346
124,016624_LUS_IDADEGELO3_VP_65261000_,016624_LUS_IDADEGELO3_VP_65261000_,5.700443573,100K,11/15/13 0:00,299,156,426,7.1,111089
125,016631_LUS_JUSTICA_62092000_,016631_LUS_JUSTICA_62092000_,5.855071922,50K,10/18/13 0:00,349,170,180,6.2,31000
126,016644_LUS_APOLLO18_5439000_,016644_LUS_APOLLO18_5439000_,5.700443573,50K,1/10/14 0:00,299,149,16,5.2,39082
127,017090_LUS_ESPIAOFANTASM_62833000_,017090_LUS_ESPIAOFANTASM_62833000_,5.855071922,140K,10/18/13 0:00,349,149,34,5.9,18002
128,017109_LUS_HOMEMNOLIMITE_63401000_,017109_LUS_HOMEMNOLIMITE_63401000_,5.855071922,50K,10/18/13 0:00,349,170,114,6.6,97936
129,017153_LUS_NIKOTPNATAL_VP_65538_,017153_LUS_NIKOTPNATAL_VP_65538_,5.293304825,140K,10/18/13 0:00,199,100,33,6.3,1902
130,017789_LUS_IDSECRETA_65581000_,017789_LUS_IDSECRETA_65581000_,5.700443573,130K,12/13/13 0:00,299,149,46,4.9,51482
131,017791_LUS_DRIVEDUPLRISC_65661000_,017791_LUS_DRIVEDUPLRISC_65661000_,5.855071922,70K,9/6/13 0:00,349,238,23,7.9,330148
132,017793_LUS_REBELDSALVADOR_65663000_,017793_LUS_REBELDSALVADOR_65663000_,5.988961417,50K,12/13/13 0:00,399,149,205,6.9,40749
133,017825_LUS_PROMETAMARTE_63263000_,017825_LUS_PROMETAMARTE_63263000_,5.855071922,50K,10/18/13 0:00,349,170,328,6.8,89182
134,017847_LUS_GHOSTRIDERVING_63304000_,017847_LUS_GHOSTRIDERVING_63304000_,5.855071922,270K,11/15/13 0:00,349,170,188,4.3,63455
135,017866_LUS_VERGONHA_63394000_,017866_LUS_VERGONHA_63394000_,5.855071922,100K,11/15/13 0:00,349,170,54,7.3,102148
136,018491_LUS_TRES_65031000_,018491_LUS_TRES_65031000_,5.855071922,70K,9/20/13 0:00,349,149,3,6.8,3263
137,018775_LUS_AMULHERDENEGRO_63026000_,018775_LUS_AMULHERDENEGRO_63026000_,5.855071922,50K,12/13/13 0:00,349,170,9,6.5,99117
138,018778_LUS_AMYWINEADEUS_64700000_,018778_LUS_AMYWINEADEUS_64700000_,5.293304825,70K,9/20/13 0:00,199,100,1,0,0
139,018789_LUS_EUSOUALENDA_62106000_,018789_LUS_EUSOUALENDA_62106000_,5.855071922,70K,9/6/13 0:00,349,149,60,7.2,371218
140,018827_LUS_APRESA_64399000_,018827_LUS_APRESA_64399000_,5.988961417,50K,1/10/14 0:00,399,170,75,6.8,155699
141,018836_LUS_GETSMARTOLHOVIVO_62092000_,018836_LUS_GETSMARTOLHOVIVO_62092000_,5.855071922,270K,11/15/13 0:00,349,149,17,6.6,137698
142,018855_LUS_ESPELHOMEU_63742000_,018855_LUS_ESPELHOMEU_63742000_,5.855071922,100K,11/15/13 0:00,349,170,175,5.6,54869
143,018874_LUS_ONGBAK3_65814000_,018874_LUS_ONGBAK3_65814000_,5.293304825,50K,10/18/13 0:00,199,100,43,4.9,7727
144,018880_LUS_BUSCIDADEPERD_70117000_,018880_LUS_BUSCIDADEPERD_70117000_,5.293304825,130K,1/10/14 0:00,199,100,20,5.3,14457
145,019363_LUS_ESPELHOMEU_VP_63742000_VP_,019363_LUS_ESPELHOMEU_VP_63742000_VP_,5.855071922,270K,11/15/13 0:00,349,170,57,5.6,54869
146,019404_LUS_BALASEBOLINHOSREG_55945000_,019404_LUS_BALASEBOLINHOSREG_55945000_,5.855071922,100K,11/15/13 0:00,349,100,58,7.2,1367
147,019932_LUS_AMIGOSIMPROVAVEIS_VP_64400000_,019932_LUS_AMIGOSIMPROVAVEIS_VP_64400000_,5.855071922,50K,12/13/13 0:00,349,170,23,8.6,271997
148,019934_LUS_1MONSTROPARIS_61442000_VP_,019934_LUS_1MONSTROPARIS_61442000_VP_,5.700443573,50K,12/13/13 0:00,299,149,86,6.7,11359
149,019938_LUS_DAMADEFERRO_65660000_,019938_LUS_DAMADEFERRO_65660000_,5.700443573,130K,1/10/14 0:00,299,149,37,6.4,58076
150,020157_LUS_ACEVENTURADETANIM_26668000_,020157_LUS_ACEVENTURADETANIM_26668000_,5.700443573,70K,9/20/13 0:00,299,149,21,6.9,156273
151,020162_LUS_MISTERIORUA7_63172000_,020162_LUS_MISTERIORUA7_63172000_,5.700443573,50K,1/10/14 0:00,299,149,0,4.9,18339
152,020166_LUS_GRAVIDAMASPOUCO_61648000_,020166_LUS_GRAVIDAMASPOUCO_61648000_,5.700443573,50K,1/10/14 0:00,299,149,0,4.7,6861
153,020180_LUS_DESCARADAMENTEINFIEIS_64420000_,020180_LUS_DESCARADAMENTEINFIEIS_64420000_,5.700443573,130K,1/10/14 0:00,299,149,0,5.4,4582
154,020184_LUS_LOCKOUT_63737000_,020184_LUS_LOCKOUT_63737000_,5.700443573,130K,1/10/14 0:00,299,149,0,6.1,66741
155,020480_LUS_NALIEUE13ULT_61619000_,020480_LUS_NALIEUE13ULT_61619000_,5.700443573,50K,1/10/14 0:00,299,149,0,6.5,29829
156,020698_LUS_PESCASALMAOIEMEN_66079000_,020698_LUS_PESCASALMAOIEMEN_66079000_,5.700443573,130K,1/10/14 0:00,299,149,0,6.9,36958
157,020701_LUS_MIRASSASSINO_63171000_,020701_LUS_MIRASSASSINO_63171000_,5.700443573,130K,1/10/14 0:00,299,149,0,5.8,7320
158,020714_LUS_SCARYMOVIE_65590000_,020714_LUS_SCARYMOVIE_65590000_,5.700443573,70K,9/6/13 0:00,299,149,69,6.2,146508
159,020719_LUS_SCARYMOVIE3_63800000_,020719_LUS_SCARYMOVIE3_63800000_,5.700443573,70K,9/6/13 0:00,299,149,82,5.4,88266
160,020746_LUS_CHOKDEEARTCAMP_66089000_,020746_LUS_CHOKDEEARTCAMP_66089000_,5.293304825,70K,9/20/13 0:00,199,100,11,6.3,534
161,021285_LUS_MATCASREENCARN_61631000_,021285_LUS_MATCASREENCARN_61631000_,5.700443573,50K,2/7/14 0:00,299,149,0,5.2,993
162,021930_LUS_POCAHONTASVP_27878000_VP_,021930_LUS_POCAHONTASVP_27878000_VP_,5.293304825,70K,9/20/13 0:00,199,100,26,6.5,74310
163,021931_LUS_TERCEIROPASSO_62028000_,021931_LUS_TERCEIROPASSO_62028000_,5.700443573,70K,9/6/13 0:00,299,100,19,8.5,546512
164,021942_LUS_NATALPERDIDO_65362000_,021942_LUS_NATALPERDIDO_65362000_,5.700443573,50K,2/7/14 0:00,299,149,0,7.1,566
165,021960_LUS_DARKTIDE_66294000_,021960_LUS_DARKTIDE_66294000_,5.700443573,50K,2/7/14 0:00,299,149,0,4.3,5247
166,021966_LUS_SEGBBMOUNT_UNIVERSAL_64307000_,021966_LUS_SEGBBMOUNT_UNIVERSAL_64307000_,5.293304825,50K,2/7/14 0:00,199,100,0,7.7,209399
167,021987_LUS_MUNDENCANTGIGI_60283000_VP_,021987_LUS_MUNDENCANTGIGI_60283000_VP_,5.700443573,50K,1/10/14 0:00,299,149,0,5.8,94
168,021994_LUS_FILHOSHUANGSHI_58175000_,021994_LUS_FILHOSHUANGSHI_58175000_,5.700443573,130K,2/7/14 0:00,299,149,0,7.1,6950
169,021995_LUS_MORTENEGRA_60346000_,021995_LUS_MORTENEGRA_60346000_,5.700443573,130K,2/7/14 0:00,299,149,0,6.4,27446
170,022011_LUS_ASSIMVENDE1FILME_63551000_,022011_LUS_ASSIMVENDE1FILME_63551000_,5.700443573,50K,2/7/14 0:00,299,149,0,6.6,10722
171,022030_LUS_MARGINAIS_66299000_,022030_LUS_MARGINAIS_66299000_,5.293304825,70K,9/20/13 0:00,199,100,10,4.3,22
172,022076_LUS_OSILENCIO_66325000_,022076_LUS_OSILENCIO_66325000_,5.700443573,50K,2/7/14 0:00,299,149,0,6.9,2264
173,022077_LUS_HESHER_61764000_,022077_LUS_HESHER_61764000_,5.700443573,50K,2/7/14 0:00,299,149,0,7.1,35851
174,022078_LUS_RUNAWAYS_61924000_,022078_LUS_RUNAWAYS_61924000_,5.700443573,50K,2/7/14 0:00,299,149,0,6.6,31874
175,022079_LUS_ASSASSINOEMIM_62635000_,022079_LUS_ASSASSINOEMIM_62635000_,5.700443573,130K,2/7/14 0:00,299,149,0,6.2,23593
176,022529_LUS_LOLAVERSUS_63741000_,022529_LUS_LOLAVERSUS_63741000_,5.700443573,50K,2/7/14 0:00,299,149,0,5.3,4898
177,022536_LUS_OSUBSTITUTO_66413000_,022536_LUS_OSUBSTITUTO_66413000_,5.700443573,50K,2/7/14 0:00,299,149,0,7.7,37151
178,022540_LUS_VINGANCA_61834000_,022540_LUS_VINGANCA_61834000_,5.700443573,50K,2/7/14 0:00,299,149,0,6.6,4243
